bill 已知	账单法案
married 已知	结婚
necessary 已知	必要的
resolved 已知	决心 35
towards 已知	朝向
voice 已知	声音
yes 已知	是的
Flood 已知	翻译出错，请更新
afraid 已知	害
deal 已知	交易
return 已知	返回
understood 已知	理解
Sunday 已知	翻译出错，请更新
continued 已知	继续
debate 已知	辩论
doctor 已知	医生
duel 已知	决斗
reason 已知	理由
trouble 已知	麻烦
turned 已知	转向
under 已知	在……之下
cant 已知	不会
read 已知	阅读
second 已知	第二
themselves 已知	他们自己
tomorrow 已知	明天
within 已知	在……之内
keep 已知	保持
saying 已知	说
wont 已知	不会
written 已知	写
bound 已知	绑定
fear 已知	害怕
fellow 已知	同伴
impossible 已知	不可能的
special 已知	特别的
Fawn 已知	翻译出错，请更新
Irish 已知	翻译出错，请更新
manner 已知	方式
note 已知	笔记
wanted 已知	想要
write 已知	写
Clarkson 已知	翻译出错，请更新
boy 已知	男孩
need 已知	需要
replied 已知	回答
wonder 已知	想知道
open 已知	打开
Street 已知	翻译出错，请更新
Treasury 已知	翻译出错，请更新
afterwards 已知	之后
bring 已知	带来
further 已知	进一步
large 已知	大的
others 已知	其他人
passed 已知	通过
vote 已知	投票
Indeed 已知	翻译出错，请更新
accept 已知	接受
beginning 已知	开始
itself 已知	它自己
nearly 已知	几乎
offer 已知	提供
story 已知	故事
town 已知	城镇
ballot 已知	投票
daughter 已知	女儿
five 已知	五
friendship 已知	友谊
gave 已知	给
law 已知	法律
opportunity 已知	机会
regard 已知	尊重
youll 已知	翻译出错，请更新
future 已知	未来
met 已知	遇见
opinion 已知	意见
private 已知	私人的
real 已知	真实的
taking 已知	拿
talking 已知	谈论
Lauras 已知	翻译出错，请更新
learned 已知	学到
marriage 已知	婚姻
telling 已知	告诉
ten 已知	十
Ive 已知	翻译出错，请更新
became 已知	成为
difficulty 已知	困难
generally 已知	通常
hero 已知	英雄
pretty 已知	漂亮的
regarded 已知	被视为
sometimes 已知	有时
anxious 已知	焦虑的
cause 已知	原因
purpose 已知	目的
show 已知	展示
sister 已知	姐妹
Daubeny 已知	翻译出错，请更新
Portman 已知	翻译出错，请更新
Standish 已知	翻译出错，请更新
circumstances 已知	情况
comfort 已知	安慰
false 已知	错误的
feet 已知	脚
fortune 已知	命运
knowing 已知	知道
minutes 已知	分钟
support 已知	支持
week 已知	周
wished 已知	希望
Ministers 已知	翻译出错，请更新
Park 已知	翻译出错，请更新
Very 已知	翻译出错，请更新
family 已知	家庭
fashion 已知	时尚
forward 已知	向前
lost 已知	失去
reply 已知	回复
sent 已知	发送
short 已知	短的
Banner 已知	翻译出错，请更新
England 已知	翻译出错，请更新
anybody 已知	任何人
change 已知	改变
danger 已知	危险
kept 已知	保持
meeting 已知	会议
mother 已知	母亲
near 已知	接近
nevertheless 已知	尽管如此
nobody 已知	没有人
none 已知	没有一个
prepared 已知	准备好的
reading 已知	阅读
refused 已知	拒绝
Commons 已知	翻译出错，请更新
Let 已知	翻译出错，请更新
carry 已知	携带
fool 已知	傻瓜
horse 已知	马
says 已知	说
small 已知	小的
thus 已知	因此
turn 已知	转向
across 已知	穿过
answered 已知	回答
conversation 已知	对话
expected 已知	预期
expressed 已知	表达
honour 已知	荣誉
knows 已知	知道
lived 已知	生活
nature 已知	自然
opposition 已知	反对
reached 已知	到达
reference 已知	参考
sake 已知	缘故
sorry 已知	抱歉
comes 已知	来
easy 已知	容易的
except 已知	除了
legs 已知	腿
lover 已知	情人
mans 已知	人
months 已知	月份
order 已知	顺序、命令、订购等
quarrel 已知	争吵、吵架
seems 已知	似乎、好像
worse 已知	更坏的、更差的、恶化
Ah 已知	翻译出错，请更新
above 已知	翻译出错，请更新
case 已知	情况、案例、箱子
choose 已知	选择
club 已知	俱乐部、棍棒
fathers 已知	父亲
fight 已知	打架、战斗、斗争
public 已知	公众的、公共的、公开的
ready 已知	准备好的、乐意的
remain 已知	剩余、留下、仍然是
settled 已知	解决、定居、安定下来
whose 已知	谁的
Mildmays 已知	翻译出错，请更新
Nothing 已知	翻译出错，请更新
Thats 已知	翻译出错，请更新
arm 已知	手臂、武器
asking 已知	询问、要求
believed 已知	相信
broken 已知	破碎的、坏掉的
honest 已知	诚实的
liberal 已知	自由的、开明的、慷慨的
run 已知	跑、经营、运转
bear 已知	熊、忍受、承担
expect 已知	期待、期望
gentlemen 已知	绅士
giving 已知	给予
ground 已知	地面、土地、根据
ladies 已知	女士
liked 已知	喜欢
past 已知	过去的、经过、超过
promise 已知	承诺、诺言
sir 已知	先生、爵士
six 已知	六
spite 已知	恶意、怨恨
English 已知	翻译出错，请更新
Monks 已知	翻译出错，请更新
dine 已知	进餐、用餐
drawingroom 已知	客厅、休息室
exactly 已知	确切地、精确地
express 已知	表达、快递、快车
fancy 已知	想象、喜爱、奇特的
getting 已知	得到
hundred 已知	一百
intention 已知	意图、目的
interest 已知	兴趣、利益、利息
measure 已知	测量、措施、程度
opened 已知	打开
shilling 已知	先令
Dr 已知	翻译出错，请更新
Sir 已知	翻译出错，请更新
anger 已知	愤怒、生气
anyone 已知	任何人
black 已知	黑色、黑人、黑色的
carriage 已知	马车、运输、运费
hours 已知	小时（hour 的复数形式）
immediately 已知	立即、马上
profession 已知	职业、专业、声明
rich 已知	富有的、丰富的
send 已知	翻译出错，请更新
somewhat 已知	翻译出错，请更新
terrible 已知	翻译出错，请更新
useful 已知	翻译出错，请更新
accepted 已知	翻译出错，请更新
advice 已知	翻译出错，请更新
attempt 已知	翻译出错，请更新
carried 已知	翻译出错，请更新
chair 已知	翻译出错，请更新
paused 已知	翻译出错，请更新
point 已知	翻译出错，请更新
thousand 已知	翻译出错，请更新
times 已知	翻译出错，请更新
tone 已知	翻译出错，请更新
unhappy 已知	翻译出错，请更新
Quintus 已知	翻译出错，请更新
Tulla 已知	翻译出错，请更新
ambition 已知	翻译出错，请更新
beyond 已知	翻译出错，请更新
de 已知	翻译出错，请更新
dozen 已知	翻译出错，请更新
everybody 已知	翻译出错，请更新
explain 已知	解释
fond 已知	翻译出错，请更新
living 已知	翻译出错，请更新
longer 已知	翻译出错，请更新
makes 已知	翻译出错，请更新
matters 已知	翻译出错，请更新
obliged 已知	翻译出错，请更新
pay 已知	支付
pounds 已知	翻译出错，请更新
proud 已知	翻译出错，请更新
shown 已知	翻译出错，请更新
stay 已知	翻译出错，请更新
twenty 已知	翻译出错，请更新
wrote 已知	翻译出错，请更新
Dont 已知	翻译出错，请更新
Goeslers 已知	翻译出错，请更新
Prime 已知	翻译出错，请更新
Robert 已知	翻译出错，请更新
St 已知	翻译出错，请更新
affair 已知	翻译出错，请更新
behind 已知	背后
changed 已知	翻译出错，请更新
difference 已知	翻译出错，请更新
different 已知	翻译出错，请更新
favour 已知	翻译出错，请更新
husbands 已知	翻译出错，请更新
proposed 已知	翻译出错，请更新
questions 已知	翻译出错，请更新
seven 已知	七
spirit 已知	翻译出错，请更新
thoroughly 已知	翻译出错，请更新
tried 已知	翻译出错，请更新
whatever 已知	翻译出错，请更新
Terrier 已知	翻译出错，请更新
desire 已知	翻译出错，请更新
escape 已知	翻译出错，请更新
fire 已知	翻译出错，请更新
held 已知	翻译出错，请更新
hold 已知	翻译出错，请更新
oclock 已知	翻译出错，请更新
parliamentary 已知	翻译出错，请更新
pass 已知	翻译出错，请更新
pleasure 已知	翻译出错，请更新
respect 已知	翻译出错，请更新
returned 已知	翻译出错，请更新
ride 已知	翻译出错，请更新
servant 已知	翻译出错，请更新
set 已知	翻译出错，请更新
succeed 已知	翻译出错，请更新
Kennedys 已知	翻译出错，请更新
account 已知	翻译出错，请更新
ago 已知	翻译出错，请更新
becoming 已知	翻译出错，请更新
begin 已知	翻译出错，请更新
clever 已知	翻译出错，请更新
corner 已知	翻译出错，请更新
crowd 已知	翻译出错，请更新
driven 已知	翻译出错，请更新
earth 已知	翻译出错，请更新
election 已知	翻译出错，请更新
failed 已知	翻译出错，请更新
hes 已知	翻译出错，请更新
ideas 已知	翻译出错，请更新
mouth 已知	翻译出错，请更新
neither 已知	翻译出错，请更新
object 已知	翻译出错，请更新
please 已知	翻译出错，请更新
proper 已知	翻译出错，请更新
remained 已知	翻译出错，请更新
rooms 已知	翻译出错，请更新
secret 已知	翻译出错，请更新
successful 已知	翻译出错，请更新
suit 已知	翻译出错，请更新
trust 已知	翻译出错，请更新
waiting 已知	翻译出错，请更新
walk 已知	翻译出错，请更新
age 已知	翻译出错，请更新
allow 已知	允许
assistance 已知	翻译出错，请更新
difficult 已知	翻译出错，请更新
free 已知	翻译出错，请更新
horses 已知	翻译出错，请更新
moved 已知	翻译出错，请更新
occurred 已知	翻译出错，请更新
paid 已知	翻译出错，请更新
pleased 已知	翻译出错，请更新
quickly 已知	翻译出错，请更新
reader 已知	翻译出错，请更新
remembered 已知	翻译出错，请更新
service 已知	翻译出错，请更新
shouldnt 已知	翻译出错，请更新
table 已知	翻译出错，请更新
talked 已知	翻译出错，请更新
George 已知	翻译出错，请更新
Peoples 已知	翻译出错，请更新
beautiful 已知	翻译出错，请更新
dare 已知	翻译出错，请更新
engaged 已知	翻译出错，请更新
especially 已知	翻译出错，请更新
fall 已知	翻译出错，请更新
fallen 已知	翻译出错，请更新
goes 已知	翻译出错，请更新
government 已知	政府政体
hair 已知	翻译出错，请更新
month 已知	翻译出错，请更新
placed 已知	翻译出错，请更新
thrown 已知	翻译出错，请更新
willing 已知	翻译出错，请更新
Brentfords 已知	翻译出错，请更新
Lane 已知	翻译出错，请更新
declare 已知	翻译出错，请更新
division 已知	翻译出错，请更新
eye 已知	翻译出错，请更新
fit 已知	翻译出错，请更新
general 已知	翻译出错，请更新
intimate 已知	翻译出错，请更新
isnt 已知	翻译出错，请更新
leader 已知	翻译出错，请更新
moments 已知	翻译出错，请更新
papa 已知	翻译出错，请更新
person 已知	翻译出错，请更新
refuse 已知	翻译出错，请更新
regret 已知	翻译出错，请更新
sons 已知	翻译出错，请更新
throw 已知	翻译出错，请更新
worth 已知	翻译出错，请更新
Chilterns 已知	翻译出错，请更新
Duchess 已知	翻译出错，请更新
Dukes 已知	翻译出错，请更新
Grosvenor 已知	翻译出错，请更新
Perhaps 已知	翻译出错，请更新
Such 已知	翻译出错，请更新
bit 已知	翻译出错，请更新
clause 已知	条款
determined 已知	翻译出错，请更新
fair 已知	翻译出错，请更新
following 已知	翻译出错，请更新
honourable 已知	翻译出错，请更新
line 已知	翻译出错，请更新
lobby 已知	翻译出错，请更新
majority 已知	翻译出错，请更新
mine 已知	翻译出错，请更新
thoughts 已知	翻译出错，请更新
twice 已知	翻译出错，请更新
accusation 已知	翻译出错，请更新
beauty 已知	翻译出错，请更新
career 已知	翻译出错，请更新
child 已知	翻译出错，请更新
greatest 已知	翻译出错，请更新
intend 已知	翻译出错，请更新
meant 已知	翻译出错，请更新
plainly 已知	翻译出错，请更新
presence 已知	翻译出错，请更新
promised 已知	翻译出错，请更新
safe 已知	翻译出错，请更新
seem 已知	翻译出错，请更新
society 已知	翻译出错，请更新
wishes 已知	翻译出错，请更新
youre 已知	翻译出错，请更新
yours 已知	翻译出错，请更新
Club 已知	翻译出错，请更新
Place 已知	翻译出错，请更新
Thursday 已知	翻译出错，请更新
Tuesday 已知	翻译出错，请更新
aint 已知	翻译出错，请更新
arms 已知	翻译出错，请更新
chambers 已知	房间
desired 已知	翻译出错，请更新
earnest 已知	翻译出错，请更新
fine 已知	翻译出错，请更新
forget 已知	翻译出错，请更新
hopes 已知	翻译出错，请更新
ill 已知	生病的
influence 已知	翻译出错，请更新
join 已知	翻译出错，请更新
offered 已知	翻译出错，请更新
passion 已知	翻译出错，请更新
pause 已知	翻译出错，请更新
perceived 已知	翻译出错，请更新
quarrelled 已知	翻译出错，请更新
single 已知	翻译出错，请更新
supposed 已知	翻译出错，请更新
Barbara 已知	翻译出错，请更新
Bill 已知	翻译出错，请更新
Certainly 已知	翻译出错，请更新
Did 已知	翻译出错，请更新
Nor 已知	翻译出错，请更新
Though 已知	翻译出错，请更新
Wednesday 已知	翻译出错，请更新
afternoon 已知	翻译出错，请更新
arranged 已知	翻译出错，请更新
autumn 已知	翻译出错，请更新
county 已知	翻译出错，请更新
daresay 已知	翻译出错，请更新
entered 已知	翻译出错，请更新
excuse 已知	翻译出错，请更新
form 已知	翻译出错，请更新
lose 已知	翻译出错，请更新
nice 已知	翻译出错，请更新
pocket 已知	翻译出错，请更新
smile 已知	翻译出错，请更新
smiled 已知	翻译出错，请更新
specially 已知	翻译出错，请更新
spot 已知	翻译出错，请更新
walking 已知	翻译出错，请更新
Here 已知	翻译出错，请更新
Monday 已知	翻译出错，请更新
UnderSecretary 已知	翻译出错，请更新
along 已知	翻译出错，请更新
assured 已知	翻译出错，请更新
bench 已知	翻译出错，请更新
cared 已知	翻译出错，请更新
chosen 已知	翻译出错，请更新
comfortable 已知	翻译出错，请更新
ears 已知	翻译出错，请更新
explained 已知	翻译出错，请更新
generous 已知	翻译出错，请更新
girls 已知	翻译出错，请更新
interview 已知	翻译出错，请更新
leaving 已知	翻译出错，请更新
motion 已知	翻译出错，请更新
nine 已知	翻译出错，请更新
period 已知	翻译出错，请更新
personal 已知	翻译出错，请更新
required 已知	翻译出错，请更新
silent 已知	翻译出错，请更新
someone 已知	某人
stick 已知	翻译出错，请更新
sympathy 已知	翻译出错，请更新
top 已知	翻译出错，请更新
wait 已知	翻译出错，请更新
wealth 已知	翻译出错，请更新
welcome 已知	翻译出错，请更新
Baldocks 已知	翻译出错，请更新
Chancellor 已知	翻译出错，请更新
May 已知	翻译出错，请更新
Men 已知	翻译出错，请更新
Never 已知	翻译出错，请更新
Tell 已知	翻译出错，请更新
Willingford 已知	翻译出错，请更新
acknowledged 已知	翻译出错，请更新
around 已知	翻译出错，请更新
attack 已知	翻译出错，请更新
battle 已知	翻译出错，请更新
discussed 已知	翻译出错，请更新
fault 已知	翻译出错，请更新
followed 已知	翻译出错，请更新
guests 已知	翻译出错，请更新
hitherto 已知	翻译出错，请更新
invitation 已知	翻译出错，请更新
laughing 已知	翻译出错，请更新
middle 已知	翻译出错，请更新
perceive 已知	翻译出错，请更新
places 已知	翻译出错，请更新
receive 已知	翻译出错，请更新
seated 已知	翻译出错，请更新
shoulders 已知	翻译出错，请更新
swore 已知	翻译出错，请更新
tells 已知	翻译出错，请更新
thinks 已知	翻译出错，请更新
third 已知	翻译出错，请更新
various 已知	翻译出错，请更新
wants 已知	翻译出错，请更新
worst 已知	翻译出错，请更新
Dublin 已知	翻译出错，请更新
Earls 已知	翻译出错，请更新
Grace 已知	翻译出错，请更新
Office 已知	翻译出错，请更新
Westminster 已知	翻译出错，请更新
acknowledge 已知	翻译出错，请更新
act 已知	翻译出错，请更新
admit 已知	翻译出错，请更新
argument 已知	翻译出错，请更新
bed 已知	翻译出错，请更新
behalf 已知	翻译出错，请更新
below 已知	翻译出错，请更新
big 已知	翻译出错，请更新
card 已知	翻译出错，请更新
clear 已知	翻译出错，请更新
command 已知	翻译出错，请更新
confidence 已知	翻译出错，请更新
dark 已知	翻译出错，请更新
dearest 已知	翻译出错，请更新
difficulties 已知	翻译出错，请更新
due 已知	翻译出错，请更新
effect 已知	翻译出错，请更新
endeavour 已知	翻译出错，请更新
engagement 已知	翻译出错，请更新
evil 已知	翻译出错，请更新
fail 已知	翻译出错，请更新
feelings 已知	翻译出错，请更新
fixed 已知	翻译出错，请更新
headache 已知	头痛
hell 已知	翻译出错，请更新
journey 已知	翻译出错，请更新
language 已知	翻译出错，请更新
learn 已知	翻译出错，请更新
likely 已知	翻译出错，请更新
lords 已知	翻译出错，请更新
named 已知	翻译出错，请更新
news 已知	翻译出错，请更新
reach 已知	翻译出错，请更新
shoulder 已知	翻译出错，请更新
showed 已知	翻译出错，请更新
summer 已知	翻译出错，请更新
sweet 已知	翻译出错，请更新
task 已知	翻译出错，请更新
th 已知	翻译出错，请更新
twelve 已知	翻译出错，请更新
uncle 已知	翻译出错，请更新
Are 已知	翻译出错，请更新
Finns 已知	翻译出错，请更新
Turnbulls 已知	翻译出错，请更新
Yours 已知	翻译出错，请更新
abandon 已知	翻译出错，请更新
arrangement 已知	翻译出错，请更新
article 已知	翻译出错，请更新
break 已知	翻译出错，请更新
careful 已知	翻译出错，请更新
company 已知	翻译出错，请更新
concerned 已知	翻译出错，请更新
conduct 已知	翻译出错，请更新
consent 已知	翻译出错，请更新
cottage 已知	翻译出错，请更新
didnt 已知	翻译出错，请更新
gained 已知	翻译出错，请更新
gets 已知	翻译出错，请更新
hoped 已知	翻译出错，请更新
independent 已知	翻译出错，请更新
interfere 已知	翻译出错，请更新
lake 已知	翻译出错，请更新
letters 已知	翻译出错，请更新
likes 已知	翻译出错，请更新
lips 已知	翻译出错，请更新
niece 已知	翻译出错，请更新
odd 已知	翻译出错，请更新
official 已知	翻译出错，请更新
particular 已知	翻译出错，请更新
perfect 已知	翻译出错，请更新
police 已知	翻译出错，请更新
possibly 已知	翻译出错，请更新
privilege 已知	翻译出错，请更新
rest 已知	翻译出错，请更新
silence 已知	翻译出错，请更新
step 已知	翻译出错，请更新
tired 已知	翻译出错，请更新
visit 已知	翻译出错，请更新
wretched 已知	翻译出错，请更新
Bonebreaker 已知	翻译出错，请更新
DEAR 已知	翻译出错，请更新
God 已知	翻译出错，请更新
Since 已知	翻译出错，请更新
State 已知	翻译出错，请更新
absolutely 已知	翻译出错，请更新
begun 已知	翻译出错，请更新
bid 已知	翻译出错，请更新
books 已知	翻译出错，请更新
boroughs 已知	翻译出错，请更新
character 已知	翻译出错，请更新
deny 已知	翻译出错，请更新
dined 已知	翻译出错，请更新
effort 已知	翻译出错，请更新
equal 已知	翻译出错，请更新
forgotten 已知	翻译出错，请更新
game 已知	翻译出错，请更新
hat 已知	翻译出错，请更新
indifferent 已知	翻译出错，请更新
lodgings 已知	翻译出错，请更新
lot 已知	翻译出错，请更新
opposite 已知	翻译出错，请更新
park 已知	公园
parties 已知	翻译出错，请更新
peer 已知	翻译出错，请更新
prevent 已知	翻译出错，请更新
red 已知	红色
result 已知	翻译出错，请更新
rising 已知	翻译出错，请更新
rival 已知	翻译出错，请更新
rode 已知	翻译出错，请更新
sad 已知	翻译出错，请更新
seeing 已知	翻译出错，请更新
sisters 已知	翻译出错，请更新
soft 已知	翻译出错，请更新
sooner 已知	翻译出错，请更新
speeches 已知	翻译出错，请更新
succeeded 已知	翻译出错，请更新
surprised 已知	翻译出错，请更新
terms 已知	翻译出错，请更新
turning 已知	翻译出错，请更新
vain 已知	翻译出错，请更新
whereas 已知	翻译出错，请更新
August 已知	翻译出错，请更新
Blankenberg 已知	翻译出错，请更新
Committee 已知	翻译出错，请更新
Dear 已知	翻译出错，请更新
Friday 已知	翻译出错，请更新
Lords 已知	翻译出错，请更新
Lows 已知	翻译出错，请更新
Morris 已知	翻译出错，请更新
Nevertheless 已知	翻译出错，请更新
Secretary 已知	翻译出错，请更新
accident 已知	翻译出错，请更新
address 已知	翻译出错，请更新
affairs 已知	事务
beneath 已知	翻译出错，请更新
church 已知	翻译出错，请更新
cousin 已知	翻译出错，请更新
cut 已知	翻译出错，请更新
decision 已知	翻译出错，请更新
delighted 已知	翻译出错，请更新
fifty 已知	翻译出错，请更新
force 已知	翻译出错，请更新
fought 已知	翻译出错，请更新
frequently 已知	翻译出错，请更新
grand 已知	翻译出错，请更新
handsome 已知	翻译出错，请更新
hunting 已知	翻译出错，请更新
hurry 已知	翻译出错，请更新
income 已知	翻译出错，请更新
instantly 已知	翻译出错，请更新
laws 已知	翻译出错，请更新
mode 已知	翻译出错，请更新
necessity 已知	翻译出错，请更新
occasions 已知	翻译出错，请更新
otherwise 已知	翻译出错，请更新
peas 已知	翻译出错，请更新
press 已知	翻译出错，请更新
proposition 已知	翻译出错，请更新
repeated 已知	翻译出错，请更新
resolution 已知	翻译出错，请更新
respecting 已知	关于
secretary 已知	翻译出错，请更新
severe 已知	翻译出错，请更新
shook 已知	翻译出错，请更新
tongue 已知	翻译出错，请更新
understanding 已知	翻译出错，请更新
violent 已知	翻译出错，请更新
ways 已知	方法
weak 已知	翻译出错，请更新
winter 已知	翻译出错，请更新
wrath 已知	翻译出错，请更新
Liberal 已知	翻译出错，请更新
Linter 已知	翻译出错，请更新
Majesty 已知	翻译出错，请更新
Plantagenet 已知	翻译出错，请更新
advantage 已知	翻译出错，请更新
agree 已知	翻译出错，请更新
barrister 已知	翻译出错，请更新
bread 已知	翻译出错，请更新
breakfast 已知	翻译出错，请更新
bright 已知	翻译出错，请更新
brothers 已知	翻译出错，请更新
candidate 已知	翻译出错，请更新
civil 已知	翻译出错，请更新
committee 已知	翻译出错，请更新
common 已知	翻译出错，请更新
courage 已知	翻译出错，请更新
glory 已知	翻译出错，请更新
grace 已知	翻译出错，请更新
gracious 已知	翻译出错，请更新
hate 已知	翻译出错，请更新
lately 已知	翻译出错，请更新
loving 已知	翻译出错，请更新
meaning 已知	翻译出错，请更新
natural 已知	翻译出错，请更新
nonsense 已知	翻译出错，请更新
ordinary 已知	翻译出错，请更新
popular 已知	翻译出错，请更新
possessed 已知	翻译出错，请更新
propose 已知	翻译出错，请更新
prospects 已知	翻译出错，请更新
require 已知	翻译出错，请更新
resign 已知	辞职
salary 已知	翻译出错，请更新
save 已知	翻译出错，请更新
seats 已知	翻译出错，请更新
servants 已知	翻译出错，请更新
sharp 已知	翻译出错，请更新
sore 已知	翻译出错，请更新
sound 已知	翻译出错，请更新
start 已知	翻译出错，请更新
state 已知	翻译出错，请更新
staying 已知	翻译出错，请更新
touch 已知	翻译出错，请更新
touched 已知	翻译出错，请更新
views 已知	翻译出错，请更新
water 已知	翻译出错，请更新
writing 已知	翻译出错，请更新
Augusta 已知	翻译出错，请更新
During 已知	翻译出错，请更新
July 已知	翻译出错，请更新
March 已知	翻译出错，请更新
Poor 已知	翻译出错，请更新
affection 已知	翻译出错，请更新
amount 已知	翻译出错，请更新
aside 已知	翻译出错，请更新
assist 已知	翻译出错，请更新
badly 已知	翻译出错，请更新
blow 已知	翻译出错，请更新
bosom 已知	翻译出错，请更新
chose 已知	翻译出错，请更新
clubs 已知	翻译出错，请更新
cold 已知	翻译出错，请更新
cruel 已知	翻译出错，请更新
dangerous 已知	翻译出错，请更新
decent 已知	翻译出错，请更新
die 已知	翻译出错，请更新
doubted 已知	翻译出错，请更新
electors 已知	翻译出错，请更新
equally 已知	翻译出错，请更新
evidence 已知	翻译出错，请更新
failure 已知	翻译出错，请更新
foolish 已知	翻译出错，请更新
foot 已知	翻译出错，请更新
forty 已知	翻译出错，请更新
greater 已知	翻译出错，请更新
happened 已知	翻译出错，请更新
hated 已知	翻译出错，请更新
heavy 已知	翻译出错，请更新
judge 已知	翻译出错，请更新
lay 已知	翻译出错，请更新
led 已知	翻译出错，请更新
listen 已知	翻译出错，请更新
lovers 已知	翻译出错，请更新
loves 已知	翻译出错，请更新
opening 已知	翻译出错，请更新
pity 已知	翻译出错，请更新
play 已知	翻译出错，请更新
prefer 已知	翻译出错，请更新
pressed 已知	翻译出错，请更新
pride 已知	翻译出错，请更新
putting 已知	翻译出错，请更新
quick 已知	翻译出错，请更新
ruin 已知	翻译出错，请更新
scene 已知	翻译出错，请更新
sense 已知	翻译出错，请更新
slowly 已知	翻译出错，请更新
sorrow 已知	翻译出错，请更新
strength 已知	翻译出错，请更新
sufficient 已知	翻译出错，请更新
temptation 已知	翻译出错，请更新
thats 已知	那是
unable 已知	翻译出错，请更新
untrue 已知	翻译出错，请更新
venture 已知	翻译出错，请更新
wonderful 已知	翻译出错，请更新
British 已知	翻译出错，请更新
Bungay 已知	翻译出错，请更新
Everybody 已知	翻译出错，请更新
Inn 已知	翻译出错，请更新
although 已知	翻译出错，请更新
anxiety 已知	翻译出错，请更新
appointment 已知	翻译出错，请更新
ashamed 已知	翻译出错，请更新
attention 已知	翻译出错，请更新
beg 已知	翻译出错，请更新
born 已知	翻译出错，请更新
children 已知	孩子们
complain 已知	翻译出错，请更新
confess 已知	翻译出错，请更新
consider 已知	翻译出错，请更新
coronet 已知	翻译出错，请更新
debt 已知	翻译出错，请更新
direct 已知	翻译出错，请更新
disagreeable 已知	翻译出错，请更新
dull 已知	翻译出错，请更新
eight 已知	翻译出错，请更新
em 已知	翻译出错，请更新
expression 已知	翻译出错，请更新
favourite 已知	翻译出错，请更新
ignorant 已知	翻译出错，请更新
instead 已知	翻译出错，请更新
invited 已知	翻译出错，请更新
joined 已知	翻译出错，请更新
joy 已知	翻译出错，请更新
